config,p_depth,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,drop_mean_A,drop_pkpk_A,energy_mean
best_rejection,0.05,100,0,0.7388071334934434,0.005841064453124933,0.0011793841265448114,1.6290248487800586e-05,3.95519694587746e-06,249599.08837856646
best_rejection,0.1,200,0,0.7401993498185414,0.005841064453124933,0.0011940987163293348,1.5209961595896135e-05,2.7728179445479166e-06,242947.02920723226
best_rejection,0.1,2000,0,0.7359297398158482,0.00201416015625,0.000428942891550922,1.844064292491586e-05,4.252049112367289e-06,234393.4
best_rejection,0.1,5000,0,0.737625470842634,0.0028198242187499334,0.0005894118667856324,1.7193621195884092e-05,4.426808141817579e-06,262041.33809523808
best_rejection,0.25,500,0,0.7373430887858073,0.0018127441406249334,0.0004230620613035695,1.715221008092022e-05,8.586809400046085e-06,252462.73958333334
lab_default,0.25,50,0,0.7383046577480958,0.006445312500000022,0.0010998677956359634,1.6502903071846665e-05,9.428948389967155e-06,255443.12903225806
best_rejection,0.25,1000,0,0.7367814418247769,0.0016113281249999778,0.0003646802923897397,1.7699955495753595e-05,8.46446437349071e-06,253114.48571428572
best_rejection,0.1,100,0,0.7384539196038297,0.008660888671874978,0.0021417010946056,1.645184056946736e-05,5.0244666318143295e-06,238552.88378566457
best_rejection,0.25,200,0,0.7399539528370568,0.003021240234375,0.000477339004272366,1.5253536952436539e-05,7.0921457690454015e-06,250666.73852573018
best_rejection,0.25,2000,0,0.7342973109654017,0.003021240234375,0.0006832362594276402,1.954013546894081e-05,1.0286749686680523e-05,214482.1380952381
best_rejection,0.25,5000,0,0.7361676025390625,0.0022155761718750666,0.0004051194415454149,1.819509533794885e-05,8.397160722162336e-06,307561.0571428572
best_rejection,0.05,50,0,0.7389003287613123,0.005438232421875022,0.001110091988313017,1.6226974587511137e-05,4.268363982162151e-06,250046.98572920292
best_rejection,0.25,100,0,0.7402897908443699,0.007452392578125022,0.0019673919237816286,1.4922389955764749e-05,6.9150373233961275e-06,235513.45163535143
best_rejection,0.1,50,0,0.7387359990917597,0.007653808593749978,0.0015694938873875308,1.6287299466079144e-05,4.875238296240957e-06,245801.70379394363
slow_low_noise,0.05,100,0,0.7387840924944197,0.005841064453124933,0.0013425682378186033,1.6352861183575452e-05,4.8940431810925865e-06,4043398.5476190476
slow_low_noise,0.05,200,0,0.7390603201729911,0.004833984375000044,0.0012000418367085295,1.6151899895869446e-05,4.8905509007180955e-06,4059406.376190476
lab_default,0.05,25,0,0.7385977937159108,0.004229736328125067,0.0007443797129748739,1.6445981136334804e-05,3.7171478224990705e-06,255995.66108786612
lab_default,0.1,25,0,0.7387692320938248,0.003625488281249978,0.0006295300580854881,1.6286792492520412e-05,5.417340172856649e-06,255327.02928870294
slow_low_noise,0.05,500,0,0.737961164202009,0.002416992187500022,0.0007223476470578929,1.6962516937351304e-05,3.0503706720397944e-06,4072435.2714285715
best_rejection,0.25,50,0,0.7394064977946614,0.0120849609375,0.0037124614768768325,1.5538566615849034e-05,9.520153317485727e-06,216457.39644970413
slow_low_noise,0.05,1000,0,0.7386824253627234,0.007049560546875,0.002091903720793874,1.6444551716727002e-05,6.4689609630796924e-06,3918660.480952381
slow_low_noise,0.05,50,0,0.7385992072610295,0.0040283203125,0.0008046406512396417,1.6456405707389717e-05,3.722811300110981e-06,4080563.894117647
lab_default,0.25,25,0,0.7384961827672034,0.004632568359374978,0.0007504579963891864,1.6371771551089267e-05,9.319466086356076e-06,258013.40705319785
slow_low_noise,0.05,2000,0,0.7319512939453126,0.004431152343750022,0.0010040158110753228,2.0906078557573582e-05,3.411287957907341e-06,1700893.3857142858
slow_low_noise,0.05,5000,0,0.7322102573939732,0.004632568359374978,0.0012382586510340412,2.0747644332015985e-05,3.054466102406449e-06,1861637.7857142857
slow_low_noise,0.1,100,0,0.7399312046595983,0.007049560546875,0.0018040712331240881,1.5513273632913635e-05,7.265343569131367e-06,3948294.285714286
best_rejection,0.05,25,0,0.7388183179412124,0.006243896484375067,0.0009074042705501966,1.6293002940318722e-05,4.832402431231407e-06,251423.72428198432
slow_low_noise,0.1,200,0,0.741170392717634,0.006445312500000022,0.0015377077206695149,1.4646607831680291e-05,6.563810331378407e-06,3836721.4476190475
