_kstep,_drift_rate,drift_total_K,in_lock_frac,in_lock_frac_last20,v_dev_rms_mV,v_dev_rms_mV_last20,v_dev_abs_max_mV,drop_loss_rms_pct,drop_loss_rms_pct_last20,drop_loss_abs_max_pct,energy_loss_pct,v_heater_drift_mV,frozen_v_dev_abs_max_mV,frozen_drop_loss_rms_pct,frozen_drop_loss_abs_max_pct,window_time_us,ss_acq_v_dev_mV,ss_acq_drop_ref_A,_wall_s
4,250.0,10.05,0.10666666666666667,0.0,17.25679752754879,12.4684034002957,29.195556640622566,45.22864293079262,62.743130214664106,73.28649872064753,-22.398530731400346,-18.12744140625,9.073486328127434,63.988925302407075,84.91902811789302,134.0,8.67960611979416,1.0978356474614591e-05,241.942660395056
4,500.0,20.1,0.10666666666666667,0.0,26.36647997436476,26.0864361489393,42.48901367187252,48.9559574602908,85.84340355215743,89.69687245927298,48.32853507248741,-31.82373046875009,9.073486328127434,78.565229665558,94.15234363852242,134.0,8.67960611979416,1.097835647417816e-05,215.88514787890017
4,750.0,30.150000000000002,0.0,0.0,29.49860014766544,46.04439211851371,54.99633789062752,88.13138763154265,96.99148231359294,97.33084869659301,95.3049569970166,46.32568359375,9.073486328127434,84.63733092729566,96.528718498287,134.0,8.67960611979416,1.0978356474088706e-05,180.93722878210247
4,1000.0,40.2,0.0,0.0,44.58588278209011,71.73149160881644,83.19458007812753,90.80570336450117,97.49036418541489,97.523624480123,96.75923573559575,74.52392578125,9.073486328127434,87.91168593276572,97.34116197660956,134.0,8.67960611979416,1.0978356474759464e-05,183.93022973649204
4,1500.0,60.300000000000004,0.0,0.0,50.405813063322185,80.69368535252862,86.41723632812747,92.36660575951252,96.13813345108873,97.52358675931809,97.53852714781839,76.94091796874991,9.073486328127434,91.22127389818681,97.52362618182951,134.0,8.67960611979416,1.0978356474362433e-05,196.31899406388402
4,2000.0,80.4,0.0,0.0,55.57440893004557,81.73669912432102,91.25122070312753,89.7701726735874,78.26525384415608,97.52362293378687,94.9923222485083,82.58056640625,9.073486328127434,92.39411135348602,97.52362574319753,134.0,8.67960611979416,1.0978356474605882e-05,212.94723892398179
4,3000.0,120.60000000000001,0.0,0.0,45.35077189792418,68.94166085188192,72.31811523437747,87.50561633636488,89.42856535341463,97.5235265119827,89.86228483940891,60.827636718749915,9.073486328127434,86.3271979714865,97.52362366971347,134.0,8.67960611979416,1.0978356474766357e-05,245.60481227189302
4,5000.0,201.0,0.0,0.0,35.715226027935906,49.88134229640033,54.99633789062752,86.8134318252118,76.95431945282019,97.60104891842504,87.86459085982659,45.52001953124996,9.073486328127434,88.41715615600684,97.60100887788616,134.0,8.67960611979416,1.0978356474015244e-05,276.37019335851073
5,100.0,4.0200000000000005,0.09666666666666666,0.0,48.18190820573413,73.42360130638346,79.97192382812746,87.06704216824191,86.06758270065562,221.06737950486104,-26.115016084558818,57.202148437499936,23.575439453127455,35.99089254118769,53.725258873036054,134.0,22.78767903646083,5.3423047880771085e-06,203.46122666820884
5,250.0,10.05,0.05333333333333334,0.0,21.592641640521574,21.786517105701886,36.84936523437254,172.8742038320655,68.74212463526122,222.67565134024207,-603.5449678308825,-33.03222656250004,23.575439453127455,58.067946583096564,78.49997578885251,134.0,22.78767903646083,5.3423047886254335e-06,221.36899598501623
5,500.0,20.1,0.04,0.0,25.557634409383247,18.56210857357318,45.71166992187248,134.40929863889374,75.60598935329932,220.84424920027158,-310.23147977941176,-34.64355468750002,23.575439453127455,73.23391631776816,90.12532903437699,134.0,22.78767903646083,5.3423047878363605e-06,201.4155293945223
5,750.0,30.150000000000002,0.04,0.0,27.85420379847594,31.24579594466737,41.68334960937248,96.36036242753646,86.45181717446114,210.19703185545805,-100.66778492647059,-44.3115234375,23.575439453127455,80.06742171830402,93.57779597737313,134.0,22.78767903646083,5.342304788358285e-06,194.08584210835397
5,1000.0,40.2,0.09333333333333334,0.0,48.14758520441447,93.04845212053274,113.80981445312754,79.50297263798275,94.65216338719185,94.91101701625685,81.96888786764706,91.04003906250003,23.575439453127455,83.86594637512017,94.75399651875287,134.0,22.78767903646083,5.342304788057502e-06,186.57155933603644
5,1500.0,60.300000000000004,0.0,0.0,89.43415269012858,132.20148322025474,141.2023925781275,86.7770033059447,82.9583380105554,94.91095837288854,97.31038602941176,118.43261718749997,23.575439453127455,87.63133074807259,94.91108876747073,134.0,22.78767903646083,5.342304787709067e-06,198.02970508672297
