knob,knob_value,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,drop_mean_A,drop_pkpk_A,energy_mean
kstep,4,2000,0,0.7486736188616072,0.0120849609375,0.0025648120422799344,1.0036302616612463e-05,7.876985976946571e-06,130251.85714285714
kstep,4,1000,0,0.7410581752232144,0.010876464843749933,0.0026669639548450585,1.4764433197392427e-05,1.0004594451765388e-05,231196.69523809524
kstep,4,5000,0,0.7384225027901786,0.008862304687500044,0.002993858768084432,1.6604051349555273e-05,8.524371817160941e-06,238841.30476190476
goertzel_total,68,25,0,0.7387923473807345,0.003424072265625022,0.0006174806523486278,1.626836685191293e-05,5.200818825466991e-06,255375.62761506275
goertzel_total,20,25,0,0.7387651176621179,0.004229736328125067,0.0007855353274664616,1.6284684704635216e-05,5.116504906844382e-06,15913.42857142857
kstep,3,50,0,0.7385809129284275,0.0032226562499999556,0.0005330917616797691,1.6420857663459264e-05,4.219855825458041e-06,255181.29151732379
goertzel_total,260,25,0,0.7386627854567308,0.0032226562500000666,0.0004660149047484553,1.6358823836449138e-05,4.367398976240332e-06,4087900.3374358974
kstep,4,100,0,0.7385409626016185,0.004431152343749911,0.0007664252441407445,1.6452617746817314e-05,5.058872946254981e-06,254352.22434367542
kstep,5,200,0,0.738739013671875,0.006445312500000022,0.0010555941605340246,1.630533717545356e-05,5.819769936354128e-06,253071.4619047619
kstep,5,500,0,0.7387620326450893,0.007250976562500067,0.0019908750499529593,1.6373096716304362e-05,7.0443748691420085e-06,247575.04761904763
kstep,5,1000,0,0.7404193987165179,0.008862304687500044,0.0020868596219254876,1.5186609657060209e-05,7.989266418694368e-06,242255.3142857143
kstep,5,2000,0,0.7366442871093749,0.0201416015625,0.004396980402435769,1.7756337904367644e-05,1.4714695068845133e-05,191260.9
kstep,5,5000,0,0.7376801409040178,0.018530273437500022,0.006019226753182002,1.693779658521594e-05,1.3561257381611962e-05,171287.53333333333
kstep,5,100,0,0.7386745990033936,0.0040283203125,0.0008028437233683077,1.6362499147851707e-05,5.754337093546054e-06,254490.05966587111
kstep,6,200,0,0.738551025390625,0.006445312500000022,0.0012812057115297163,1.643827579278486e-05,6.575888449387838e-06,251357.8142857143
kstep,6,2000,0,0.7443518066406252,0.01611328125,0.0036432489590474204,1.2573327038888815e-05,1.0730482797451856e-05,188986.69523809524
kstep,6,500,0,0.7386891392299109,0.009667968749999978,0.0016805251847548336,1.6438322206266202e-05,7.5153134626660734e-06,251297.05238095237
kstep,6,1000,0,0.7391495186941965,0.011279296874999956,0.0026336249483618042,1.6085967893324766e-05,9.657391730254208e-06,240039.81904761904
kstep,6,5000,0,0.7110970633370536,0.04189453125000009,0.013359082914556364,1.2433284832586094e-05,2.0721784286634365e-05,98028.62857142858
settling_us,5,1000,0,0.7369176374162946,0.0012084960937499556,0.00027116079317522564,1.768887750625993e-05,3.4932094036255925e-06,246912.37142857144
settling_us,5,500,0,0.7390439351399741,0.0016113281249999778,0.00033651991915706553,1.6078299724877985e-05,3.417242767379053e-06,254394.27083333334
