target_mode,knob,knob_value,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,error_std_codes,error_pkpk_codes,target_pkpk_codes,drift_V
iadc_value,adc_dead_zone,1,500,0,0.7330892944335937,0.0038269042968750444,0.0011499690382744182,64.96696874613455,200.0,0.0,-0.00041931033230244744
iadc_value,adc_dead_zone,1,200,0,0.732956112132353,0.004229736328124956,0.001416365508901291,13.32952775339973,60.0,0.0,-6.454118690820604e-05
iadc_value,adc_dead_zone,1,1000,0,0.7333007812500001,0.00201416015625,0.0005872235489803884,131.33964377925358,369.0,0.0,-8.200613807277057e-05
iadc_value,adc_dead_zone,0,50,0,0.7329534037844085,0.004229736328124956,0.0014161392458143696,10.566498480526475,44.0,0.0,-8.051795808838517e-05
iadc_value,adc_dead_zone,1,2000,0,0.7334014892578125,0.001007080078125,0.0003021240234375148,139.86819159626023,387.0,0.0,-2.373861891569515e-05
iadc_value,adc_dead_zone,1,5000,0,0.7330993652343752,0.0004028320312500222,0.00014242263048802096,139.5038833487719,394.0,0.0,-4.316112530072334e-06
iadc_value,step_size_track,56,50,0,0.732973536398197,0.005639648437499978,0.001704719998499683,76.19467362716017,289.0,0.0,-7.758604214804052e-05
iadc_value,adc_dead_zone,1,100,0,0.7329554453159847,0.004229736328124956,0.0014153388071860618,10.049562331485511,45.0,0.0,-7.61310994121938e-05
iadc_value,adc_dead_zone,2,500,0,0.73289794921875,0.0040283203125,0.0011657794732424277,65.85209530935713,203.0,0.0,-0.0004229790279530152
iadc_value,adc_dead_zone,2,1000,0,0.7333007812500001,0.00201416015625,0.0005872235489803884,131.3990322006418,369.0,0.0,-8.200613807277057e-05
iadc_value,adc_dead_zone,2,200,0,0.7329528808593752,0.004229736328124956,0.0014186625473221958,11.84808835134807,58.0,0.0,-6.0470883592843446e-05
iadc_value,adc_dead_zone,2,2000,0,0.7334014892578125,0.001007080078125,0.0003021240234375148,139.7886136917351,387.0,0.0,-2.373861891569515e-05
iadc_value,adc_dead_zone,1,50,0,0.7329541228063297,0.004229736328124956,0.0014166477109770564,10.028031485639174,40.0,0.0,-7.860249100907075e-05
iadc_value,adc_dead_zone,2,5000,0,0.7330993652343752,0.0004028320312500222,0.00014242263048802096,139.54462675840605,394.0,0.0,-4.316112530072334e-06
iadc_value,adc_dead_zone,2,100,0,0.7329531095370346,0.004229736328124956,0.0014163391306326661,9.80985686783949,41.0,0.0,-7.567141236399855e-05
iadc_value,adc_dead_zone,0,25,0,0.732954270188975,0.004229736328124956,0.0014165221777038967,10.418993451750692,41.0,0.0,-8.234995778103568e-05
iadc_value,step_size_track,32,25,0,0.7329139060778321,0.004833984374999933,0.001476642057919,42.734023040016154,160.0,0.0,-8.070651922745152e-05
iadc_value,adc_dead_zone,3,500,0,0.7330720302036832,0.0038269042968750444,0.0011462805495217863,63.750157162671414,200.0,0.0,-0.00041943364980322065
iadc_value,adc_dead_zone,3,200,0,0.7329489315257354,0.004229736328124956,0.0014184276491276844,9.249709122180287,54.0,0.0,-6.280554813584694e-05
