target_mode,config,p_depth,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,error_std_codes,error_pkpk_codes,target_pkpk_codes,drift_V
peak_ratio,fast_small_step,0.25,200,0,0.733193377350548,0.0016113281249999778,0.0005257966403991578,6.167706178513075,36.0,1120.0,2.798266390650718e-05
peak_ratio,lab_default,0.25,25,0,0.7331924094549382,0.0016113281249999778,0.0005271124727357217,8.875443500126838,43.0,1120.0,2.599938327550496e-05
peak_ratio,fast_small_step,0.25,100,0,0.7331948366954746,0.0016113281249999778,0.0005264547434286103,6.156116903746347,38.0,1120.0,2.6522279127043346e-05
peak_ratio,slow_wide_dead,0.05,100,0,0.7331638757020129,0.0008056640624999334,0.00024949814039428215,19.645954451178813,74.0,223.0,2.7549303046785885e-06
peak_ratio,fast_small_step,0.1,50,0,0.7331718534221208,0.0008056640624999334,0.00022030286898687437,5.773973985262185,33.0,448.0,1.0541730796106338e-05
peak_ratio,slow_wide_dead,0.05,200,0,0.7331540352957591,0.0008056640624999334,0.00026022323086999767,20.981594217751123,79.0,223.0,1.9484165135979644e-05
peak_ratio,slow_wide_dead,0.05,50,0,0.7331654268152574,0.0008056640624999334,0.0002458243734004897,19.174964043314016,73.0,224.0,4.899723613144727e-06
peak_ratio,slow_wide_dead,0.05,500,0,0.7331799316406251,0.0008056640624999334,0.00024169921874999113,19.454499177961537,69.0,214.0,1.3811560096175735e-05
peak_ratio,slow_wide_dead,0.05,1000,0,0.733260498046875,0.0004028320312500222,0.00019734658572228842,22.77574093196531,66.0,213.0,6.905780048318652e-06
peak_ratio,fast_small_step,0.25,50,0,0.7331943079026041,0.0016113281249999778,0.0005265119154864488,6.034722136087129,40.0,1120.0,2.602616491149481e-05
peak_ratio,slow_wide_dead,0.05,25,0,0.7331683605510566,0.0008056640624999334,0.00024276148331318304,18.92028089746711,72.0,224.0,3.577480795833748e-06
peak_ratio,fast_small_step,0.05,25,0,0.7331621805968732,0.0004028320312500222,0.00013435383183892669,5.343929200060307,28.0,224.0,4.793168527926696e-06
peak_ratio,slow_wide_dead,0.05,2000,0,0.733260498046875,0.0004028320312500222,0.00019734658572228842,26.63785643418335,70.0,213.0,5.346296203125483e-17
peak_ratio,slow_wide_dead,0.1,100,0,0.7331481064765903,0.0008056640624999334,0.00027597540784688335,20.39746143329071,78.0,447.0,1.230535536221247e-05
peak_ratio,slow_wide_dead,0.05,5000,0,0.73330078125,0.0004028320312500222,0.0002014160156250111,19.5,39.0,0.0,4.3161125302091e-06
peak_ratio,slow_wide_dead,0.1,50,0,0.7331503475413604,0.0008056640624999334,0.0002721288860694282,19.728577087229983,75.0,448.0,1.700311611273339e-05
peak_ratio,slow_wide_dead,0.1,200,0,0.7331353323800224,0.0008056640624999334,0.0002773904170417557,21.64832085678627,79.0,447.0,2.9935323333407825e-05
peak_ratio,slow_wide_dead,0.1,500,0,0.7331396484375001,0.0008056640624999334,0.00028198242187498065,27.905177450993364,102.0,427.0,2.1580562650451587e-05
peak_ratio,slow_wide_dead,0.1,25,0,0.7331464401639859,0.0008056640624999334,0.0002732222805942543,19.49720087945731,72.0,448.0,1.6575661025589625e-05
peak_ratio,fast_small_step,0.1,25,0,0.7331722845530165,0.0008056640624999334,0.00021872315777681325,5.630144188941302,31.0,448.0,1.1114647241341859e-05
peak_ratio,slow_wide_dead,0.1,1000,0,0.7331396484375,0.0008056640624999334,0.00028198242187498065,34.60854689028626,126.0,426.0,1.4674782602332577e-05
peak_ratio,slow_wide_dead,0.25,100,0,0.7331939805869107,0.0016113281249999778,0.0005440226946178934,20.306808826605547,88.0,1118.0,1.2182914014745317e-05
peak_ratio,slow_wide_dead,0.25,50,0,0.7331963034237133,0.0016113281249999778,0.0005427826194427313,19.176322623325674,87.0,1120.0,2.121165614449738e-05
